collocate,frequency_collocate,frequency,MI
linen,1,6,5.699103270578279
sheet,1,2,7.284065771299435
over,2,159,1.9711828160150793
which,2,606,0.04089178782648347
cloak,4,26,5.583626053158342
richly,1,2,7.284065771299435
embroidered,1,3,6.699103270578279
with,2,1013,-0.7003526875017039
tender,1,33,3.239671651940981
humour,1,7,5.47671084924183
those,2,119,2.3892480079914913
keen,2,20,4.9621376764120715
eyes,10,305,3.3533284337365483
gleaming,1,4,6.284065771299435
like,4,76,4.036138257855849
beacon,1,1,8.284065771299433
stone,4,56,4.47671084924183
bishop,4,764,0.7066369432636858
ring,4,44,4.824634152662137
heavenly,2,10,5.962137676412072
colour,3,23,5.345466315963578
forget,2,11,5.824634152662138
nots,2,2,8.284065771299433
beside,2,75,3.0552470808035537
finger,1,21,3.8917483485206743
tips,1,5,5.962137676412072
stone,4,56,4.47671084924183
ring,4,44,4.824634152662137
again,2,171,1.8662132564135365
eyes,10,305,3.3533284337365483
were,2,220,1.5027060577747746
more,1,179,0.8002499940351782
moved,1,69,2.1755413145212654
burning,1,8,5.284065771299434
logs,1,4,6.284065771299435
that,4,1221,0.030218286312031294
smoke,1,1,8.284065771299433
instead,1,13,4.583626053158342
mounting,1,9,5.114140769857122
chimney,1,1,8.284065771299433
clouds,2,12,5.699103270578279
chased,2,4,7.284065771299435
another,2,74,3.074612405670485
across,2,50,3.6402095815247093
fact,1,39,2.9986635524371863
said,1,580,-0.8958433187155
bishop,4,764,0.7066369432636858
suddenly,1,28,3.4767108492418304
clouds,2,12,5.699103270578279
chased,2,4,7.284065771299435
another,2,74,3.074612405670485
across,2,50,3.6402095815247093
knight,3,437,1.0975388025199921
felt,1,59,2.401422721937593
were,2,220,1.5027060577747746
being,1,88,1.8246341526621372
bishop,4,764,0.7066369432636858
smiled,2,57,3.451175757134693
looked,2,137,2.1860336883389078
into,2,357,0.8042855072703348
eyes,10,305,3.3533284337365483
open,1,61,2.353328433736548
countenance,1,19,4.036138257855849
young,1,42,2.891748348520674
chair,1,40,2.9621376764120724
stone,4,56,4.47671084924183
ring,4,44,4.824634152662137
gleamed,1,11,4.824634152662137
colour,3,23,5.345466315963578
forget,2,11,5.824634152662138
nots,2,2,8.284065771299433
beside,2,75,3.0552470808035537
movement,1,8,5.284065771299434
something,1,44,2.8246341526621372
those,2,119,2.3892480079914913
keen,2,20,4.9621376764120715
eyes,10,305,3.3533284337365483
father,1,159,0.971182816015079
gervaise,1,39,2.9986635524371863
lord,1,214,0.5425987848982874
betokened,1,3,6.699103270578279
listened,1,11,4.824634152662137
cloak,4,26,5.583626053158342
dark,1,48,2.6991032705782785
bordered,1,1,8.284065771299433
with,2,1013,-0.7003526875017039
silver,3,61,3.938290934457705
covered,1,19,4.036138257855849
left,1,138,1.1755413145212654
almost,2,48,3.699103270578278
glint,1,1,8.284065771299433
silver,3,61,3.938290934457705
almost,2,48,3.699103270578278
quite,1,18,4.114140769857123
sniffing,1,1,8.284065771299433
passed,1,143,1.124194434521045
meekly,1,7,5.47671084924183
know,1,132,1.2396716519409807
will,1,302,0.04566103197435557
knight,3,437,1.0975388025199921
cloak,4,26,5.583626053158342
over,2,159,1.9711828160150793
turned,1,107,1.5425987848982874
stretcher,2,33,4.239671651940982
silken,1,2,7.284065771299435
cassock,1,5,5.962137676412072
silvery,1,11,4.824634152662137
hair,1,40,2.9621376764120724
eyes,10,305,3.3533284337365483
vivid,1,5,5.962137676412072
searching,1,17,4.196602930049095
only,1,81,1.9442157684148096
hand,1,229,0.44486198320249043
upon,1,539,-0.7900756914530711
form,1,20,3.962137676412072
beneath,1,61,2.353328433736548
silver,3,61,3.938290934457705
cloak,4,26,5.583626053158342
benedictio,1,2,7.284065771299435
domini,1,2,7.284065771299435
stretcher,2,33,4.239671651940982
that,4,1221,0.030218286312031294
when,1,414,-0.4094211861998908
that,4,1221,0.030218286312031294
pall,1,5,5.962137676412072
lifted,1,87,1.8411222754507062
would,1,370,-0.24731568921687774
find,1,51,2.611640429327939
queen,1,14,4.47671084924183
ladies,1,105,1.5698202536333117
bishop,4,764,0.7066369432636858
smiled,2,57,3.451175757134693
eyes,10,305,3.3533284337365483
looked,2,137,2.1860336883389078
into,2,357,0.8042855072703348
mora,1,233,0.4198796266451542
beard,1,3,6.699103270578279
which,2,606,0.04089178782648347
mouth,1,13,4.583626053158342
chin,1,7,5.47671084924183
eyes,10,305,3.3533284337365483
them,2,213,1.5493561510735963
that,4,1221,0.030218286312031294
kindly,2,23,4.760503815242422
received,1,18,4.114140769857123
them,2,213,1.5493561510735963
from,1,673,-1.1103969233108826
point,1,24,3.699103270578278
steel,3,6,7.284065771299435
blade,1,7,5.47671084924183
ride,1,98,1.6693559271842264
warwick,1,41,2.9265137666813508
absolutely,1,2,7.284065771299435
colourless,1,1,8.284065771299433
eyes,10,305,3.3533284337365483
like,4,76,4.036138257855849
steel,3,6,7.284065771299435
seemed,1,143,1.124194434521045
transfix,1,2,7.284065771299435
knight,3,437,1.0975388025199921
opened,1,42,2.891748348520674
eyes,10,305,3.3533284337365483
longer,1,27,3.529178269135966
points,1,10,4.9621376764120715
steel,3,6,7.284065771299435
soft,1,25,3.6402095815247093
dreamy,1,1,8.284065771299433
like,4,76,4.036138257855849
stone,4,56,4.47671084924183
ring,4,44,4.824634152662137
held,1,70,2.1547827543544678
neither,1,27,3.529178269135966
purple,1,16,4.284065771299435
lights,1,2,7.284065771299435
colour,3,23,5.345466315963578
paled,1,4,6.284065771299435
green,1,14,4.47671084924183
tree,1,23,3.7605038152424215
tops,1,5,5.962137676412072
heavenly,2,10,5.962137676412072
beyond,1,38,3.0361382578558493
flecked,1,4,6.284065771299435
swift,1,22,3.824634152662137
moving,1,32,3.2840657712994346
brow,1,14,4.47671084924183
grew,1,16,4.284065771299435
serene,1,8,5.284065771299434
again,2,171,1.8662132564135365
eyes,10,305,3.3533284337365483
kindly,2,23,4.760503815242422
bright,1,39,2.9986635524371863
lips,1,84,1.8917483485206743
glow,1,11,4.824634152662137
paling,1,1,8.284065771299433
above,1,49,2.669355927184226
clear,1,57,2.451175757134693
where,1,129,1.2728385158761804
like,4,76,4.036138257855849
lamp,1,2,7.284065771299435
just,1,65,2.2616979582709797
